MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.random.RandomDataGenerator.getSecRan	0	4	0.0	0	2	0.0
org.apache.commons.math3.random.RandomDataGenerator.initRan	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.getRandomGenerator	0	3	0.0	0	2	0.0
org.apache.commons.math3.random.RandomDataGenerator.setSecureAlgorithm	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.reSeed	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.reSeedSecure	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.reSeedSecure	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.reSeed	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextSample	0	12	0.0	0	6	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextPermutation	0	9	0.0	0	4	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextUniform	0	14	0.0	0	12	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextUniform	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextF	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextChiSquare	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextCauchy	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextBinomial	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextBeta	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextZipf	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextWeibull	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextT	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextPascal	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextHypergeometric	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextGamma	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextExponential	0	2	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.nextGaussian	0	3	0.0	0	2	0.0
